txn_id,y_access_failure,y_maker_checker_breakdown,y_cbs_posting_failure,y_account_opening_failure,api_latency_ms,retry_count,peak_hour_flag,server_region,hour,day_of_week,is_weekend,latency_band,retry_band,otp_failure_flag,session_timeout_flag,token_mismatch_flag,external_dependency_failure_flag,client_network_drop_flag,app_crash_flag,middleware_timeout_flag,field_error_flag,error_field_name,caching_issue_flag,tat_minutes,tat_hours,tat_bucket,submission_hour,submission_day_of_week,peak_submission_flag,control_risk_score,api_call_status,api_latency_ms_cbs_int,retry_attempts,cbs_sync_status,reconciliation_flag,data_loss_flag,event_hour,event_day_of_week,peak_event_flag,api_latency_band_integration,retry_band_integration,sync_risk_score,account_type,channel,branch_id,txn_month,txn_day_of_week,end_to_end_friction_score,total_failure_layers,is_slow_auth,is_slow_cbs
TXN0001054,0,0,0,1,727,2,0,South,17,6,1,moderate,medium,1,0,0,0,0,0,0,0,No_Error,0,77,1.2833333333333334,1-2h,17,6,0,1,Success,683,0,Synced,0,0,17,6,0,moderate,none,0,Current,Mobile,B246,3,6,1,0,0,0
TXN0028607,0,0,0,0,365,1,0,North,5,6,1,low,low,0,0,0,0,0,0,0,0,No_Error,0,29,0.4833333333333333,15-30m,5,6,0,0,Success,693,0,Synced,0,0,5,6,0,moderate,none,0,Current,Tablet,B466,3,6,0,0,0,0
TXN0030862,0,0,0,0,237,2,0,West,4,6,1,low,medium,0,0,1,0,0,0,0,0,No_Error,0,123,2.05,>2h,4,6,0,1,Success,450,0,Synced,0,0,4,6,0,low,none,0,Savings,Mobile,B285,3,6,1,0,0,0
TXN0037766,1,1,0,0,1091,1,0,West,21,6,1,high,low,0,0,1,1,0,0,1,1,Address,1,268,4.466666666666667,>2h,21,6,0,3,Success,762,0,Synced,0,0,21,6,0,moderate,none,0,Savings,Tablet,B107,3,6,3,2,1,0
TXN0045263,0,0,0,0,452,1,0,South,6,6,1,low,low,0,0,0,0,0,0,0,0,No_Error,0,98,1.6333333333333333,1-2h,6,6,0,1,Success,796,0,Synced,0,0,6,6,0,moderate,none,0,Current,Mobile,B108,3,6,1,0,0,0
TXN0055242,1,0,0,0,731,1,0,East,0,6,1,moderate,low,0,0,0,0,0,0,1,0,No_Error,0,91,1.5166666666666666,1-2h,0,6,0,1,Success,951,0,Synced,0,0,0,6,0,moderate,none,0,Current,Mobile,B502,3,6,1,1,0,0
TXN0095554,0,0,0,0,228,1,0,West,6,6,1,low,low,0,0,0,0,0,0,0,0,No_Error,0,158,2.6333333333333333,>2h,6,6,0,1,Success,782,0,Synced,0,0,6,6,0,moderate,none,0,Current,Mobile,B353,3,6,1,0,0,0
TXN0024021,0,0,0,0,2972,3,1,West,11,6,1,very_high,high,0,0,0,0,0,0,1,0,No_Error,0,123,2.05,>2h,11,6,1,1,Success,1156,0,Synced,0,0,11,6,1,high,none,1,Savings,Mobile,B491,3,6,4,0,1,1
TXN0053156,1,0,0,1,2551,2,1,North,10,6,1,very_high,medium,0,1,0,1,0,0,0,0,No_Error,0,167,2.783333333333333,>2h,10,6,1,1,Success,385,0,Synced,0,0,10,6,1,low,none,0,Current,Mobile,B498,3,6,3,1,1,0
TXN0009922,0,0,0,0,630,1,0,South,6,6,1,moderate,low,0,0,0,0,0,0,0,0,No_Error,0,73,1.2166666666666666,1-2h,6,6,0,1,Success,485,0,Synced,0,0,6,6,0,low,none,0,Savings,Mobile,B199,3,6,1,0,0,0
TXN0072077,0,0,0,0,2331,1,1,East,11,6,1,very_high,low,0,0,0,0,0,1,1,0,No_Error,0,151,2.5166666666666666,>2h,11,6,1,1,Success,302,0,Synced,0,0,11,6,1,low,none,0,Savings,Mobile,B279,3,6,3,0,1,0
TXN0034335,1,0,0,0,2491,1,1,West,9,6,1,very_high,low,0,0,1,1,0,1,1,0,No_Error,0,41,0.6833333333333333,30-60m,9,6,1,0,Success,900,0,Synced,0,0,9,6,1,moderate,none,0,Current,Tablet,B450,3,6,2,1,1,0
TXN0027058,1,1,1,0,821,1,0,East,19,6,1,moderate,low,0,0,0,0,0,0,0,1,KYC_ID,0,102,1.7,1-2h,19,6,0,2,Failure,4459,3,Failed,1,1,19,6,0,very_high,high,4,Savings,Tablet,B166,3,6,6,3,0,1
TXN0050309,0,0,0,1,2481,1,1,South,9,6,1,very_high,low,0,0,0,0,0,0,1,0,No_Error,0,35,0.5833333333333334,30-60m,9,6,1,0,Success,1106,0,Synced,0,0,9,6,1,high,none,1,Current,Mobile,B540,3,6,3,0,1,1
TXN0086802,0,1,0,1,1052,1,0,North,16,6,1,high,low,0,0,0,0,0,0,0,1,DOB,1,207,3.45,>2h,16,6,0,3,Success,1016,0,Synced,0,0,16,6,0,high,none,1,Savings,Tablet,B386,3,6,4,1,1,1
TXN0047610,0,0,0,1,351,1,0,North,23,6,1,low,low,0,0,0,0,0,0,0,0,No_Error,0,136,2.2666666666666666,>2h,23,6,0,1,Success,707,0,Synced,0,0,23,6,0,moderate,none,0,Savings,Mobile,B401,3,6,1,0,0,0
TXN0074150,0,0,0,0,360,2,0,North,6,6,1,low,medium,0,0,1,0,0,0,0,0,No_Error,0,105,1.75,1-2h,6,6,0,1,Success,517,0,Synced,0,0,6,6,0,moderate,none,0,Savings,Mobile,B399,3,6,1,0,0,0
TXN0055137,0,0,0,0,1144,1,0,West,4,6,1,high,low,0,0,0,0,0,0,0,0,No_Error,0,108,1.8,1-2h,4,6,0,1,Success,611,0,Synced,0,0,4,6,0,moderate,none,0,Savings,Tablet,B539,3,6,1,0,1,0
TXN0078548,0,1,0,0,652,1,0,South,8,6,1,moderate,low,0,0,0,0,0,0,0,1,Address,0,97,1.6166666666666667,1-2h,8,6,0,2,Success,1044,0,Synced,0,0,8,6,0,high,none,1,Current,Tablet,B121,3,6,3,1,0,1
TXN0016754,1,0,0,1,3504,2,1,North,10,6,1,very_high,medium,1,0,1,0,0,1,1,0,No_Error,0,164,2.7333333333333334,>2h,10,6,1,1,Success,1037,0,Synced,0,0,10,6,1,high,none,1,Current,Tablet,B585,3,6,4,1,1,1
TXN0047502,1,0,0,1,3049,2,1,West,9,6,1,very_high,medium,0,0,0,1,0,1,0,0,No_Error,0,15,0.25,<=15m,9,6,1,0,Success,480,0,Synced,0,0,9,6,1,low,none,0,Current,Mobile,B237,3,6,2,1,1,0
TXN0022714,0,1,0,0,221,1,0,West,13,6,1,low,low,0,0,0,1,0,0,0,1,PAN,0,220,3.6666666666666665,>2h,13,6,0,2,Success,411,0,Synced,0,0,13,6,0,low,none,0,Savings,Mobile,B481,3,6,2,1,0,0
TXN0091469,1,1,0,0,1070,3,0,North,1,6,1,high,high,0,0,0,0,0,1,0,1,PAN,1,110,1.8333333333333333,1-2h,1,6,0,3,Success,354,0,Synced,0,0,1,6,0,low,none,0,Current,Tablet,B323,3,6,3,2,1,0
TXN0061534,0,1,0,1,913,1,0,North,7,6,1,moderate,low,0,0,0,0,0,0,0,1,Address,0,293,4.883333333333334,>2h,7,6,0,2,Success,884,0,Synced,0,0,7,6,0,moderate,none,0,Current,Tablet,B500,3,6,2,1,0,0
TXN0073350,0,0,0,0,932,1,0,South,14,6,1,moderate,low,0,0,0,0,0,0,0,0,No_Error,0,176,2.933333333333333,>2h,14,6,0,1,Success,526,0,Synced,0,0,14,6,0,moderate,none,0,Savings,Tablet,B595,3,6,1,0,0,0
TXN0090092,0,0,0,0,2250,1,1,South,10,6,1,very_high,low,1,0,0,0,0,1,0,0,No_Error,0,87,1.45,1-2h,10,6,1,1,Success,709,0,Synced,0,0,10,6,1,moderate,none,0,Savings,Mobile,B438,3,6,3,0,1,0
